value,dim,ratio
2920.309876757016,0,153.56744156691755
173.05925325100057,1,0.539300627042369
117.25478340610714,2,0.2475725055722165
50.30791859886844,3,0.045573666874899055
46.936729425902406,4,0.0396704314075497
34.86930402706708,5,0.021894137074147134
33.36372369589533,6,0.02004427286540799
28.52420058147021,7,0.014651032707761117
27.26026237995396,8,0.013381393366308215
25.125066675741213,9,0.01136725808171471
22.79750860422826,10,0.009358711316362294
21.303493191727878,11,0.008172273974568317
20.944602913381676,12,0.00789924413674824
20.25192143991936,13,0.007385395245488713
19.919905399452688,14,0.007145223495563465
19.121350520531077,15,0.006583826838895512
